timestamp,device_id,position,channel,value,unit,event_type
2026-08-07T10:39:48.521437+00:00,relay1,relay1,relay1,True,,state
2026-08-07T10:39:48.522385+00:00,relay1,relay1,relay1,load switched on for psu1,,log
2026-08-07T10:39:48.523227+00:00,psu1,voltage,voltage,5.0,V,state
2026-08-07T10:39:48.573850+00:00,psu1,voltage,voltage,4.987758715362426,V,measurement
2026-08-07T10:39:48.574011+00:00,psu1,voltage,voltage,PASS: psu1 voltage within tolerance at 5.0V (measured 4.988V),,assert
2026-08-07T10:39:48.574089+00:00,psu1,voltage,voltage,8.0,V,state
2026-08-07T10:39:48.624445+00:00,psu1,voltage,voltage,7.991292001515991,V,measurement
2026-08-07T10:39:48.625013+00:00,psu1,voltage,voltage,PASS: psu1 voltage within tolerance at 8.0V (measured 7.991V),,assert
2026-08-07T10:39:48.625129+00:00,psu1,voltage,voltage,11.0,V,state
2026-08-07T10:39:48.675469+00:00,psu1,voltage,voltage,10.990719096403739,V,measurement
2026-08-07T10:39:48.675597+00:00,psu1,voltage,voltage,PASS: psu1 voltage within tolerance at 11.0V (measured 10.991V),,assert
2026-08-07T10:39:48.675682+00:00,relay1,relay1,relay1,False,,state
2026-08-07T10:52:53.918539+00:00,relay1,relay1,relay1,True,,state
2026-08-07T10:52:53.918977+00:00,relay1,relay1,relay1,load switched on for psu1,,log
2026-08-07T10:52:53.919391+00:00,psu1,voltage,voltage,5.0,V,state
2026-08-07T10:52:53.970012+00:00,psu1,voltage,voltage,4.9932520732465235,V,measurement
2026-08-07T10:52:53.970137+00:00,psu1,voltage,voltage,PASS: psu1 voltage within tolerance at 5.0V (measured 4.993V),,assert
2026-08-07T10:52:53.970194+00:00,psu1,voltage,voltage,8.0,V,state
2026-08-07T10:52:54.020762+00:00,psu1,voltage,voltage,7.997006613241381,V,measurement
2026-08-07T10:52:54.020903+00:00,psu1,voltage,voltage,PASS: psu1 voltage within tolerance at 8.0V (measured 7.997V),,assert
2026-08-07T10:52:54.020968+00:00,psu1,voltage,voltage,11.0,V,state
2026-08-07T10:52:54.071252+00:00,psu1,voltage,voltage,11.00772548806297,V,measurement
2026-08-07T10:52:54.071383+00:00,psu1,voltage,voltage,PASS: psu1 voltage within tolerance at 11.0V (measured 11.008V),,assert
2026-08-07T10:52:54.071448+00:00,relay1,relay1,relay1,False,,state
2026-08-07T10:54:10.892827+00:00,relay1,relay1,relay1,True,,state
2026-08-07T10:54:10.893323+00:00,relay1,relay1,relay1,load switched on for psu1,,log
2026-08-07T10:54:10.893848+00:00,psu1,voltage,voltage,5.0,V,state
2026-08-07T10:54:10.944015+00:00,psu1,voltage,voltage,5.019968140146036,V,measurement
2026-08-07T10:54:10.944141+00:00,psu1,voltage,voltage,PASS: psu1 voltage within tolerance at 5.0V (measured 5.020V),,assert
2026-08-07T10:54:10.944198+00:00,psu1,voltage,voltage,8.0,V,state
2026-08-07T10:54:10.994826+00:00,psu1,voltage,voltage,7.98402159182507,V,measurement
2026-08-07T10:54:10.994986+00:00,psu1,voltage,voltage,PASS: psu1 voltage within tolerance at 8.0V (measured 7.984V),,assert
2026-08-07T10:54:10.995061+00:00,psu1,voltage,voltage,11.0,V,state
2026-08-07T10:54:11.045307+00:00,psu1,voltage,voltage,11.01442183034452,V,measurement
2026-08-07T10:54:11.045449+00:00,psu1,voltage,voltage,PASS: psu1 voltage within tolerance at 11.0V (measured 11.014V),,assert
2026-08-07T10:54:11.045512+00:00,relay1,relay1,relay1,False,,state
2026-08-07T10:56:19.827158+00:00,relay1,relay1,relay1,True,,state
2026-08-07T10:56:19.827572+00:00,relay1,relay1,relay1,load switched on for psu1,,log
2026-08-07T10:56:19.827959+00:00,psu1,voltage,voltage,5.0,V,state
2026-08-07T10:56:19.878365+00:00,psu1,voltage,voltage,5.004392205522269,V,measurement
2026-08-07T10:56:19.878506+00:00,psu1,voltage,voltage,PASS: psu1 voltage within tolerance at 5.0V (measured 5.004V),,assert
2026-08-07T10:56:19.878574+00:00,psu1,voltage,voltage,8.0,V,state
2026-08-07T10:56:19.929099+00:00,psu1,voltage,voltage,8.017193145666505,V,measurement
2026-08-07T10:56:19.929248+00:00,psu1,voltage,voltage,PASS: psu1 voltage within tolerance at 8.0V (measured 8.017V),,assert
2026-08-07T10:56:19.929309+00:00,psu1,voltage,voltage,11.0,V,state
2026-08-07T10:56:19.979936+00:00,psu1,voltage,voltage,10.998458788308104,V,measurement
2026-08-07T10:56:19.980120+00:00,psu1,voltage,voltage,PASS: psu1 voltage within tolerance at 11.0V (measured 10.998V),,assert
2026-08-07T10:56:19.980194+00:00,relay1,relay1,relay1,False,,state
