timestamp,key,value
2026-08-07T10:39:48.520781+00:00,run_id,demo_run_001
2026-08-07T10:39:48.520831+00:00,run_start_utc,2026-08-07T10:39:48.422860+00:00
2026-08-07T10:39:48.520854+00:00,hostname,L22937
2026-08-07T10:39:48.520872+00:00,logged_in_user,philip.mcgaw
2026-08-07T10:39:48.520891+00:00,operating_system,Windows
2026-08-07T10:39:48.520926+00:00,os_release,11
2026-08-07T10:39:48.520947+00:00,os_version,10.0.26100
2026-08-07T10:39:48.520966+00:00,os_build,10.0.26100
2026-08-07T10:39:48.520987+00:00,os_machine,AMD64
2026-08-07T10:39:48.521003+00:00,os_platform_string,Windows-11-10.0.26100-SP0
2026-08-07T10:39:48.521347+00:00,python_version,3.13.3
